"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.649702 "The Phantom of the Opera" 2000-07-16 9 1 7
0.663 "Beauty and the Beast" 2000-07-23 1 1 8
0.453475 "Chicago" 2000-07-23 2 1 8
0.470214 "Les Miserables" 2000-07-23 4 1 8
0.411823 "Rent" 2000-07-23 6 1 8
0.970981 "The Lion King" 2000-07-23 8 1 8
0.690054 "The Phantom of the Opera" 2000-07-23 9 1 8
0.660339 "Beauty and the Beast" 2000-07-30 1 1 9
0.462306 "Chicago" 2000-07-30 2 1 9
0.459603 "Les Miserables" 2000-07-30 4 1 9
0.430272 "Rent" 2000-07-30 6 1 9
0.974824 "The Lion King" 2000-07-30 8 1 9
0.688351 "The Phantom of the Opera" 2000-07-30 9 1 9
0.654613 "Beauty and the Beast" 2000-08-06 1 1 10
0.462572 "Chicago" 2000-08-06 2 1 10
0.504406 "Les Miserables" 2000-08-06 4 1 10
0.462676 "Rent" 2000-08-06 6 1 10
0.972985 "The Lion King" 2000-08-06 8 1 10
0.689155 "The Phantom of the Opera" 2000-08-06 9 1 10
0.641972 "Beauty and the Beast" 2000-08-13 1 1 11
0.47549 "Chicago" 2000-08-13 2 1 11
0.499496 "Les Miserables" 2000-08-13 4 1 11
0.482696 "Rent" 2000-08-13 6 1 11
0.97393 "The Lion King" 2000-08-13 8 1 11
0.690966 "The Phantom of the Opera" 2000-08-13 9 1 11
0.634509 "Beauty and the Beast" 2000-08-20 1 1 12
0.475142 "Chicago" 2000-08-20 2 1 12
0.483019 "Les Miserables" 2000-08-20 4 1 12
0.485068 "Rent" 2000-08-20 6 1 12
0.973104 "The Lion King" 2000-08-20 8 1 12
0.708091 "The Phantom of the Opera" 2000-08-20 9 1 12
0.611776 "Beauty and the Beast" 2000-08-27 1 1 13
0.456763 "Chicago" 2000-08-27 2 1 13
0.451733 "Les Miserables" 2000-08-27 4 1 13
0.447759 "Rent" 2000-08-27 6 1 13
0.964452 "The Lion King" 2000-08-27 8 1 13
0.657487 "The Phantom of the Opera" 2000-08-27 9 1 13
0.573541 "Beauty and the Beast" 2000-09-03 1 1 14
0.505669 "Chicago" 2000-09-03 2 1 14
0.40879 "Les Miserables" 2000-09-03 4 1 14
0.455806 "Rent" 2000-09-03 6 1 14
0.976522 "The Lion King" 2000-09-03 8 1 14
0.617201 "The Phantom of the Opera" 2000-09-03 9 1 14
0.466868 "Beauty and the Beast" 2000-09-10 1 1 15
0.420932 "Chicago" 2000-09-10 2 1 15
0.301431 "Les Miserables" 2000-09-10 4 1 15
0.304262 "Rent" 2000-09-10 6 1 15
0.970056 "The Lion King" 2000-09-10 8 1 15
0.537844 "The Phantom of the Opera" 2000-09-10 9 1 15
0.523308 "Beauty and the Beast" 2000-09-17 1 1 16
0.464076 "Chicago" 2000-09-17 2 1 16
0.347133 "Les Miserables" 2000-09-17 4 1 16
0.332783 "Rent" 2000-09-17 6 1 16
0.969988 "The Lion King" 2000-09-17 8 1 16
0.582938 "The Phantom of the Opera" 2000-09-17 9 1 16
0.524316 "Beauty and the Beast" 2000-09-24 1 1 17
0.491365 "Chicago" 2000-09-24 2 1 17
0.350522 "Les Miserables" 2000-09-24 4 1 17
0.330723 "Rent" 2000-09-24 6 1 17
0.971283 "The Lion King" 2000-09-24 8 1 17
0.556071 "The Phantom of the Opera" 2000-09-24 9 1 17
0.49405 "Beauty and the Beast" 2000-10-01 1 1 18
0.458117 "Chicago" 2000-10-01 2 1 18
0.310316 "Les Miserables" 2000-10-01 4 1 18
0.322541 "Rent" 2000-10-01 6 1 18
0.968967 "The Lion King" 2000-10-01 8 1 18
0.555437 "The Phantom of the Opera" 2000-10-01 9 1 18
0.592822 "Beauty and the Beast" 2000-10-08 1 1 19
0.522914 "Chicago" 2000-10-08 2 1 19
0.429481 "Les Miserables" 2000-10-08 4 1 19
0.398637 "Rent" 2000-10-08 6 1 19
0.977709 "The Lion King" 2000-10-08 8 1 19
0.60633 "The Phantom of the Opera" 2000-10-08 9 1 19
0.568568 "Beauty and the Beast" 2000-10-15 1 1 20
0.511388 "Chicago" 2000-10-15 2 1 20
0.423529 "Les Miserables" 2000-10-15 4 1 20
0.39387 "Rent" 2000-10-15 6 1 20
0.977671 "The Lion King" 2000-10-15 8 1 20
0.678931 "The Phantom of the Opera" 2000-10-15 9 1 20
0.622269 "Beauty and the Beast" 2000-10-22 1 1 21
0.537325 "Chicago" 2000-10-22 2 1 21
0.429519 "Les Miserables" 2000-10-22 4 1 21
0.401258 "Rent" 2000-10-22 6 1 21
0.978184 "The Lion King" 2000-10-22 8 1 21
0.632831 "The Phantom of the Opera" 2000-10-22 9 1 21
0.551507 "Beauty and the Beast" 2000-10-29 1 1 22
0.517124 "Chicago" 2000-10-29 2 1 22
0.389391 "Les Miserables" 2000-10-29 4 1 22
0.361072 "Rent" 2000-10-29 6 1 22
0.978596 "The Lion King" 2000-10-29 8 1 22
0.603932 "The Phantom of the Opera" 2000-10-29 9 1 22
0.552257 "Beauty and the Beast" 2000-11-05 1 1 23
0.486462 "Chicago" 2000-11-05 2 1 23
0.380498 "Les Miserables" 2000-11-05 4 1 23
0.339452 "Rent" 2000-11-05 6 1 23
0.974363 "The Lion King" 2000-11-05 8 1 23
0.558708 "The Phantom of the Opera" 2000-11-05 9 1 23
0.593731 "Beauty and the Beast" 2000-11-12 1 1 24
0.519864 "Chicago" 2000-11-12 2 1 24
0.421174 "Les Miserables" 2000-11-12 4 1 24
0.400177 "Rent" 2000-11-12 6 1 24
0.976833 "The Lion King" 2000-11-12 8 1 24
0.600778 "The Phantom of the Opera" 2000-11-12 9 1 24
0.551034 "Beauty and the Beast" 2000-11-19 1 1 25
0.498848 "Chicago" 2000-11-19 2 1 25
0.38089 "Les Miserables" 2000-11-19 4 1 25
0.36754 "Rent" 2000-11-19 6 1 25
0.97333 "The Lion King" 2000-11-19 8 1 25
0.567278 "The Phantom of the Opera" 2000-11-19 9 1 25
0.732458 "Beauty and the Beast" 2000-11-26 1 1 26
0.573088 "Chicago" 2000-11-26 2 1 26
0.601616 "Les Miserables" 2000-11-26 4 1 26
0.448651 "Rent" 2000-11-26 6 1 26
1.004635 "The Lion King" 2000-11-26 8 1 26
0.864781 "The Phantom of the Opera" 2000-11-26 9 1 26
0.586468 "Beauty and the Beast" 2000-12-03 1 1 27
0.47951 "Chicago" 2000-12-03 2 1 27
0.399207 "Les Miserables" 2000-12-03 4 1 27
0.340787 "Rent" 2000-12-03 6 1 27
0.975478 "The Lion King" 2000-12-03 8 1 27
0.561485 "The Phantom of the Opera" 2000-12-03 9 1 27
0.63657 "Beauty and the Beast" 2000-12-10 1 1 28
